gold_id,latitude,longitude
Go0007349,40.776,-119.394
Go0007350,30.459,-97.838
Go0007354,37.438682,25.328178
Go0007389,-31.41,-56
Go0007391,-41.0335,147.667
Go0007392,-32.53333,-71.48333
Go0007393,-34.98,117.96
Go0007394,36.975,24.743
Go0007395,-13.65,32.63
Go0007433,41.526,-70.673
Go0007434,41.526,-70.673
Go0007436,-31.799722,18.621111
Go0007438,37.128333,25.443333
Go0007469,30.4166,30.333
Go0007471,43.495921,3.834114
Go0007537,69.01,20.83
Go0007747,-22.929194,-42.390149
Go0007904,59.865,17.63
Go0007906,32.45,105.843
Go0007909,39.89,3.09
Go0007910,33.906602,73.393734
Go0007938,58.75,48.98
Go0007940,32.45,105.843
Go0007941,26.98,47.58
Go0007942,24.108,117.294
Go0007945,44.317,87.663
Go0007946,28.9,48.18
Go0007947,44.317,87.663
Go0007960,17.333,76.83
Go0007978,53.475174,8.223553
Go0007996,55.6803,12.5714
Go0007998,1.319,103.853
Go0007999,33.531,-81.721
Go0008000,-31.471,115.084
Go0008151,37.8406,-122.2896
Go0008245,46.65,8.583
Go0008286,37.896,-122.25
Go0008290,45.31,9.5
Go0008296,43.61,3.88
Go0008387,37.831,-122.285
Go0008391,51.251951,7.452031
Go0008470,44.479459,-110.649262
Go0008487,63.870162,-22.558676
Go0008511,38.451,-84.404
Go0008663,54.095,159.427
Go0008664,52.514,6.092
Go0008801,43.86005,-69.650145
Go0008852,47.957498,-122.529373
Go0008860,54.108,159.427
Go0008935,61.533333,-150.45
Go0008940,18.268,-65.76
Go0009015,59.8,17.65
Go0009016,59.8,17.65
Go0009017,59.8,17.65
Go0009018,59.8,17.6
Go0009104,44.3338,-68.058094
Go0009358,35.5,139.77
Go0009476,45.362,11.789
Go0009478,38.9,-77.031
Go0009580,28.247,-16.639
Go0009581,-40.355746,175.61219
Go0009582,36.426,10.09
Go0009583,37.147182,24.514618
Go0009584,-31.29,19.3
Go0009585,-33.68,18.69
Go0009586,-30.33,17.99
Go0009587,33.471631,-116.990719
Go0009588,-29.9125,29.16667
Go0009598,34.94,138.57
Go0009606,-22.45,117.99
Go0009607,-22.45,117.99
Go0009609,-22.7,-43.7
Go0009610,38.87997,-77.10677
Go0009611,-27.35,31.3
Go0009622,53.9436,-1.0577
Go0009623,53.9436,-1.0577
Go0009624,53.9436,-1.0577
Go0009625,37.445,25.363
Go0009626,52.02558,8.536262
Go0009658,51.387638,22.369194
Go0009659,51.206238,23.2687
