gold_id,latitude,longitude
Gp0012241,19,109.5
Gp0012291,22.75,-158
Gp0012349,22.75,-158
Gp0012350,22.75,-158
Gp0012376,37.8502,-31.5166
Gp0012383,22.75,-158
Gp0012384,22.75,-158
Gp0012386,22.75,-158
Gp0012388,-12.49,-4.99
Gp0012389,22.75,-158
Gp0012391,22.75,-158
Gp0012397,38.356869,-121.98741
Gp0012443,38.466376,21.336685
Gp0012640,44.37,8.94
Gp0012641,31.65,127.1
Gp0012642,52.45,13.45
Gp0012643,38.9,-77.03
Gp0012682,47.6290127,-122.3833493
Gp0012735,43.84,-69.64
Gp0012737,43.84,-69.64
Gp0012738,43.84,-69.64
Gp0012739,43.84,-69.64
Gp0012740,43.84,-69.64
Gp0012741,43.84,-69.64
Gp0012742,43.84,-69.64
Gp0012743,43.84,-69.64
Gp0012744,43.84,-69.64
Gp0012763,22.75,-158
Gp0012817,34.7261,-76.6477
Gp0012819,43.113,-89.42
Gp0012824,46.9577,-117.0263
Gp0012836,43.34,-89.03
Gp0012857,50.732,7.096
Gp0012860,34.726186,-76.647763
Gp0012862,46.01,-89.7
Gp0012884,-12.49,-4.99
Gp0012885,-12.49,-4.99
Gp0012886,43.84,-69.64
Gp0012888,43.84,-69.64
Gp0012889,43.84,-69.64
Gp0012890,43.84,-69.64
Gp0012891,22.75,-158
Gp0012892,22.75,-158
Gp0012894,43.112,-89.421
Gp0012896,22.75,-158
Gp0012897,42.205,17.71
Gp0012898,42.205,17.71
Gp0012899,42.205,17.71
Gp0012900,43.84,-69.64
Gp0012901,42.205,17.71
